CASE #,DATE  OF OCCURRENCE, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,ARREST_N
HX372119,7/12/2014,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,N,N,1213,Y
HX344767,7/12/2014,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),N,N,414,Y
HX342291,7/12/2014,THEFT,$500 AND UNDER,OTHER,N,N,235,Y
HX341869,7/12/2014,THEFT,$500 AND UNDER,RESIDENCE,N,N,311,Y
HX342628,7/12/2014,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,233,Y
HX343468,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,323,Y
HX391306,7/12/2014,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,N,N,1915,Y
HX347073,7/12/2014,THEFT,$500 AND UNDER,STREET,N,N,411,Y
HX343834,7/12/2014,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,N,N,921,Y
HX369213,7/12/2014,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,N,N,223,Y
HX358083,7/12/2014,DECEPTIVE PRACTICE,FORGERY,RESIDENCE,N,N,414,Y
HX448132,7/12/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2525,Y
HX341871,7/12/2014,THEFT,RETAIL THEFT,OTHER,Y,N,2533,N
HX341912,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,Y,1522,Y
HX414164,7/12/2014,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,APARTMENT,N,N,222,Y
HX341932,7/12/2014,BATTERY,SIMPLE,APARTMENT,Y,N,2412,N
HX539652,7/12/2014,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,823,Y
HX344979,7/12/2014,OTHER OFFENSE,HARASSMENT BY TELEPHONE,ANIMAL HOSPITAL,N,N,523,Y
HX341877,7/12/2014,BATTERY,SIMPLE,RESIDENCE,N,N,1824,Y
HX341876,7/12/2014,ASSAULT,SIMPLE,RESIDENCE,Y,Y,2234,N
HX341914,7/12/2014,THEFT,$500 AND UNDER,CTA BUS STOP,N,N,623,Y
HX341890,7/12/2014,CRIMINAL TRESPASS,TO LAND,APARTMENT,Y,N,715,N
HX341882,7/12/2014,BATTERY,SIMPLE,NURSING HOME/RETIREMENT HOME,N,N,2515,Y
HX341908,7/12/2014,ASSAULT,SIMPLE,RESIDENCE,N,Y,414,Y
HX342681,7/12/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,1623,Y
HX341909,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,N,1222,Y
HX346057,7/12/2014,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,VEHICLE NON-COMMERCIAL,N,N,224,Y
HX342051,7/12/2014,THEFT,FROM BUILDING,HOTEL/MOTEL,N,N,112,Y
HX341927,7/12/2014,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,N,N,322,Y
HX341893,7/12/2014,BATTERY,AGGRAVATED: HANDGUN,ALLEY,N,N,1133,Y
HX343515,7/12/2014,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,2221,Y
HX345393,7/12/2014,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,APARTMENT,N,N,2433,Y
HX342727,7/12/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,621,Y
HX354420,7/12/2014,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,N,N,522,Y
HX342303,7/12/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,334,Y
HX342481,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1214,Y
HX342064,7/12/2014,ASSAULT,SIMPLE,SIDEWALK,N,N,714,Y
HX341898,7/12/2014,BATTERY,SIMPLE,DEPARTMENT STORE,N,N,1522,Y
HX341916,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,323,Y
HX358661,7/12/2014,THEFT,$500 AND UNDER,SIDEWALK,N,N,121,Y
HX348528,7/12/2014,BATTERY,SIMPLE,OTHER,N,N,1824,Y
HX341899,7/12/2014,ASSAULT,SIMPLE,STREET,N,N,215,Y
HX341933,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,424,Y
HX341906,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,522,Y
HX341918,7/12/2014,CRIMINAL DAMAGE,TO PROPERTY,GAS STATION,N,N,1131,Y
HX341930,7/12/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,731,N
HX341926,7/12/2014,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,N,N,1132,Y
HX342009,7/12/2014,KIDNAPPING,CHILD ABDUCTION/STRANGER,SIDEWALK,N,N,1111,Y
HX346119,7/12/2014,THEFT,$500 AND UNDER,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,N,N,1114,Y
HX341936,7/12/2014,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,RESIDENCE,N,Y,324,Y
HX341973,7/12/2014,THEFT,RETAIL THEFT,SMALL RETAIL STORE,Y,N,112,N
HX342865,7/12/2014,THEFT,OVER $500,STREET,N,N,123,Y
HX341955,7/12/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,1523,N
HX384323,7/12/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,725,Y
HX343026,7/12/2014,THEFT,OVER $500,APARTMENT,N,N,222,Y
HX344896,7/12/2014,OTHER OFFENSE,OTHER VEHICLE OFFENSE,RESIDENCE-GARAGE,N,N,511,Y
HX342772,7/12/2014,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,2524,Y
HX341988,7/12/2014,INTIMIDATION,INTIMIDATION,STREET,N,N,624,Y
HX348188,7/12/2014,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,N,Y,1531,Y
HX344563,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,714,Y
HX342190,7/12/2014,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,NURSING HOME/RETIREMENT HOME,N,N,835,Y
HX342135,7/12/2014,THEFT,OVER $500,STREET,N,N,914,Y
HX343174,7/12/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,N,N,1731,Y
HX342611,7/12/2014,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,Y,312,Y
HX341992,7/12/2014,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,Y,N,713,N
HX341979,7/12/2014,ASSAULT,PRO EMP HANDS NO/MIN INJURY,HOSPITAL BUILDING/GROUNDS,N,N,1023,Y
HX341956,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,N,1423,Y
HX342042,7/12/2014,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,RESIDENCE,Y,N,1014,N
HX341994,7/12/2014,THEFT,RETAIL THEFT,GROCERY FOOD STORE,N,N,821,Y
HX342257,7/12/2014,BATTERY,SIMPLE,STREET,N,N,2532,Y
HX341984,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,2423,Y
HX342057,7/12/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,APARTMENT,Y,N,1533,N
HX342110,7/12/2014,THEFT,$500 AND UNDER,DEPARTMENT STORE,N,N,111,Y
HX343215,7/12/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,1932,Y
HX341996,7/12/2014,THEFT,FROM BUILDING,ATHLETIC CLUB,N,N,2032,Y
HX342113,7/12/2014,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,DEPARTMENT STORE,N,N,111,Y
HX341982,7/12/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,932,N
HX341995,7/12/2014,CRIMINAL TRESPASS,TO LAND,SMALL RETAIL STORE,Y,N,621,N
HX342015,7/12/2014,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,SIDEWALK,N,Y,1132,Y
HX342030,7/12/2014,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,N,N,1421,Y
HX342008,7/12/2014,THEFT,$500 AND UNDER,SIDEWALK,N,Y,1011,Y
HX343278,7/12/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE PORCH/HALLWAY,N,N,331,Y
HX387141,7/12/2014,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,512,Y
HX372387,7/12/2014,THEFT,OVER $500,RESIDENCE,N,N,1111,Y
HX342552,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,833,Y
HX342440,7/12/2014,THEFT,$500 AND UNDER,SIDEWALK,N,N,611,Y
HX342018,7/12/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CTA STATION,Y,N,1623,N
HX350264,7/12/2014,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,N,N,2412,Y
HX351655,7/12/2014,ASSAULT,SIMPLE,SIDEWALK,N,N,2432,Y
HX344682,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,613,Y
HX344477,7/12/2014,CRIMINAL DAMAGE,TO PROPERTY,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,N,N,224,Y
HX345822,7/12/2014,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,831,Y
HX345851,7/12/2014,THEFT,$500 AND UNDER,RESIDENCE-GARAGE,N,N,1434,Y
HX344844,7/12/2014,THEFT,$500 AND UNDER,RESIDENCE,N,N,522,Y
HX342019,7/12/2014,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,RESIDENCE,N,N,834,Y
HX342134,7/12/2014,NARCOTICS,MANU/DELIVER:COCAINE,APARTMENT,Y,N,913,N
HX342063,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,931,N
HX342035,7/12/2014,ASSAULT,SIMPLE,RESIDENCE,N,N,925,Y
HX342093,7/12/2014,BATTERY,SIMPLE,RESIDENCE,Y,N,831,N
HX342037,7/12/2014,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,Y,N,1522,N
HX342052,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,N,1033,N
HX342059,7/12/2014,THEFT,RETAIL THEFT,SMALL RETAIL STORE,Y,N,622,N
HX342073,7/12/2014,THEFT,$500 AND UNDER,STREET,N,N,1023,Y
HX343609,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,414,Y
HX343194,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1731,Y
HX342152,7/12/2014,ROBBERY,AGGRAVATED,SMALL RETAIL STORE,N,N,2515,Y
HX344852,7/12/2014,THEFT,$500 AND UNDER,STREET,N,N,1522,Y
HX342084,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,735,Y
HX342139,7/12/2014,ASSAULT,SIMPLE,APARTMENT,N,N,831,Y
HX342127,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),N,N,412,Y
HX342075,7/12/2014,BATTERY,SIMPLE,RESIDENCE,Y,N,532,N
HX342837,7/12/2014,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),N,N,121,Y
HX342155,7/12/2014,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,N,N,821,Y
HX345823,7/12/2014,THEFT,POCKET-PICKING,CTA BUS,N,N,825,Y
HX342216,7/12/2014,BATTERY,SIMPLE,APARTMENT,N,N,725,Y
HX342210,7/12/2014,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,HOTEL/MOTEL,Y,N,114,N
HX342077,7/12/2014,CRIMINAL TRESPASS,TO LAND,SMALL RETAIL STORE,N,N,422,Y
HX342132,7/12/2014,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,Y,N,1522,N
HX342604,7/12/2014,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,N,1115,Y
HX343719,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1814,Y
HX412831,7/12/2014,ASSAULT,SIMPLE,RESIDENCE,N,N,1031,Y
HX342103,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,N,N,212,Y
HX342141,7/12/2014,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,N,N,1133,Y
HX342195,7/12/2014,ASSAULT,SIMPLE,SMALL RETAIL STORE,Y,N,225,N
HX342285,7/12/2014,THEFT,FROM BUILDING,RESTAURANT,N,N,1911,Y
HX342309,7/12/2014,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,1432,Y
HX342876,7/12/2014,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,N,N,1424,Y
HX344528,7/12/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,1623,Y
HX342196,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,731,Y
HX342296,7/12/2014,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESTAURANT,N,N,1911,Y
HX342123,7/12/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,634,N
HX342233,7/12/2014,OTHER OFFENSE,TELEPHONE THREAT,OTHER,N,N,935,Y
HX342099,7/12/2014,ASSAULT,SIMPLE,PARK PROPERTY,N,N,934,Y
HX342114,7/12/2014,CRIMINAL TRESPASS,TO LAND,APARTMENT,Y,N,2023,N
HX342115,7/12/2014,BATTERY,SIMPLE,SIDEWALK,N,N,1232,Y
HX342117,7/12/2014,THEFT,$500 AND UNDER,STREET,N,N,1512,Y
HX344790,7/12/2014,ASSAULT,SIMPLE,STREET,N,N,214,Y
HX342160,7/12/2014,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,Y,914,Y
HX342169,7/12/2014,THEFT,RETAIL THEFT,DEPARTMENT STORE,Y,N,833,N
HX342179,7/12/2014,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,N,Y,1733,Y
HX342128,7/12/2014,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER,N,N,2534,Y
HX342189,7/12/2014,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,SIDEWALK,N,N,613,Y
HX342286,7/12/2014,CRIM SEXUAL ASSAULT,ATTEMPT AGG: OTHER,ALLEY,N,N,432,Y
HX342172,7/12/2014,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,N,Y,212,Y
HX342144,7/12/2014,BATTERY,SIMPLE,STREET,N,N,222,Y
HX342206,7/12/2014,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,N,433,Y
HX342328,7/12/2014,BURGLARY,FORCIBLE ENTRY,OTHER,N,N,1215,Y
HX342396,7/12/2014,THEFT,FROM BUILDING,OTHER,N,N,1834,Y
HX342162,7/12/2014,CRIMINAL TRESPASS,TO LAND,RESIDENCE,Y,N,921,N
HX342145,7/12/2014,CRIMINAL TRESPASS,TO LAND,RESIDENTIAL YARD (FRONT/BACK),Y,N,2521,N
HX342170,7/12/2014,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,N,N,712,Y
HX342255,7/12/2014,BATTERY,SIMPLE,SIDEWALK,N,N,225,Y
HX342215,7/12/2014,BATTERY,SIMPLE,STREET,N,N,111,Y
HX342157,7/12/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,713,N
HX342165,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,421,Y
HX342213,7/12/2014,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,N,N,2522,Y
HX342182,7/12/2014,BATTERY,SIMPLE,APARTMENT,Y,N,1633,N
HX342159,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,413,Y
HX342723,7/12/2014,ASSAULT,SIMPLE,RESIDENCE,N,N,533,Y
HX490942,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,2212,Y
HX342565,7/12/2014,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,N,N,722,Y
HX343217,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2514,Y
HX343413,7/12/2014,THEFT,$500 AND UNDER,RESTAURANT,N,N,1623,Y
HX342562,7/12/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,723,Y
HX354315,7/12/2014,CRIMINAL DAMAGE,TO PROPERTY,VACANT LOT/LAND,N,N,1235,Y
HX346287,7/12/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,726,Y
HX342947,7/12/2014,BATTERY,SIMPLE,STREET,N,N,2534,Y
HX344525,7/12/2014,THEFT,$500 AND UNDER,PAWN SHOP,Y,N,2432,N
HX342180,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,Y,Y,835,N
HX342326,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,834,Y
HX342277,7/12/2014,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1811,Y
HX342194,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1014,Y
HX342220,7/12/2014,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,N,N,1633,Y
HX342221,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,Y,2423,N
HX342250,7/12/2014,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE PORCH/HALLWAY,Y,N,231,N
HX342232,7/12/2014,THEFT,$500 AND UNDER,STREET,N,N,714,Y
HX342225,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,Y,834,N
HX342265,7/12/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,2413,N
HX342279,7/12/2014,GAMBLING,GAME/DICE,SIDEWALK,Y,N,825,N
HX342234,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,232,N
HX342336,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,2423,N
HX342259,7/12/2014,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,APARTMENT,N,Y,611,Y
HX342227,7/12/2014,THEFT,OVER $500,HOTEL/MOTEL,N,N,123,Y
HX342377,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,2515,N
HX342275,7/12/2014,THEFT,FROM BUILDING,RESTAURANT,N,N,113,Y
HX342258,7/12/2014,BATTERY,SIMPLE,RESTAURANT,N,N,113,Y
HX344356,7/12/2014,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,512,Y
HX344819,7/12/2014,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,N,Y,433,Y
HX342262,7/12/2014,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,RESIDENCE,N,N,623,Y
HX342482,7/12/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,835,Y
HX343510,7/12/2014,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,N,Y,1624,Y
HX345068,7/12/2014,CRIMINAL TRESPASS,TO LAND,RESIDENCE,N,Y,633,Y
HX345016,7/12/2014,THEFT,OVER $500,SIDEWALK,N,N,1833,Y
HX343782,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,222,Y
HX345225,7/12/2014,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,531,Y
HX348629,7/12/2014,THEFT,OVER $500,RESIDENCE,N,N,1011,Y
HX342301,7/12/2014,OTHER OFFENSE,SEX OFFENDER: FAIL TO REGISTER,STREET,Y,N,1522,N
HX342421,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),N,N,1712,Y
HX342575,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,2532,Y
HX444261,7/12/2014,DECEPTIVE PRACTICE,BOGUS CHECK,CURRENCY EXCHANGE,N,N,1112,Y
HX361087,7/12/2014,THEFT,FROM BUILDING,OTHER,N,N,1934,Y
HX347524,7/12/2014,THEFT,$500 AND UNDER,,N,N,113,Y
HX342866,7/12/2014,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,322,Y
HX342317,7/12/2014,THEFT,$500 AND UNDER,STREET,N,N,735,Y
HX342383,7/12/2014,THEFT,RETAIL THEFT,DEPARTMENT STORE,Y,N,2512,N
HX342274,7/12/2014,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,APARTMENT,N,Y,631,Y
HX342318,7/12/2014,ASSAULT,SIMPLE,HOTEL/MOTEL,Y,N,713,N
HX343031,7/12/2014,KIDNAPPING,KIDNAPPING,SIDEWALK,N,N,2413,Y
HX342307,7/12/2014,ASSAULT,SIMPLE,APARTMENT,N,Y,1112,Y
HX342295,7/12/2014,ASSAULT,SIMPLE,ALLEY,Y,N,921,N
HX342329,7/12/2014,NARCOTICS,POSS: LOOK-ALIKE DRUGS,CTA BUS STOP,Y,N,1824,N
HX342343,7/12/2014,BATTERY,AGG PO HANDS NO/MIN INJURY,STREET,Y,N,311,N
HX342311,7/12/2014,THEFT,$500 AND UNDER,SMALL RETAIL STORE,N,N,715,Y
HX342353,7/12/2014,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,APARTMENT,N,Y,833,Y
HX342308,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,Y,Y,231,N
HX342323,7/12/2014,ASSAULT,SIMPLE,STREET,N,N,1134,Y
HX342418,7/12/2014,CRIMINAL TRESPASS,TO LAND,RESIDENCE PORCH/HALLWAY,Y,N,614,N
HX342385,7/12/2014,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,N,N,1933,Y
HX342359,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,424,N
HX342320,7/12/2014,THEFT,RETAIL THEFT,DEPARTMENT STORE,N,N,2534,Y
HX343412,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1112,Y
HX342393,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,614,Y
HX342335,7/12/2014,BATTERY,AGGRAVATED: HANDGUN,STREET,N,N,423,Y
HX342333,7/12/2014,BATTERY,SIMPLE,STREET,Y,N,1424,N
HX342338,7/12/2014,OTHER OFFENSE,PAROLE VIOLATION,SIDEWALK,Y,N,2221,N
HX342357,7/12/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,2012,N
HX342349,7/12/2014,LIQUOR LAW VIOLATION,ILLEGAL POSSESSION BY MINOR,SIDEWALK,Y,N,2523,N
HX342365,7/12/2014,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,Y,N,1112,N
HX345789,7/12/2014,THEFT,$500 AND UNDER,SMALL RETAIL STORE,N,N,831,Y
HX342366,7/12/2014,NARCOTICS,POSS: HEROIN(WHITE),VACANT LOT/LAND,Y,N,1115,N
HX342378,7/12/2014,DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,ALLEY,Y,N,2024,N
HX342345,7/12/2014,NARCOTICS,POSS: HEROIN(WHITE),ALLEY,Y,N,825,N
HX342362,7/12/2014,BATTERY,SIMPLE,SIDEWALK,N,N,2024,Y
HX342429,7/12/2014,THEFT,$500 AND UNDER,SIDEWALK,Y,N,234,N
HX342348,7/12/2014,ASSAULT,SIMPLE,ALLEY,N,N,532,Y
HX342288,7/12/2014,HOMICIDE,FIRST DEGREE MURDER,STREET,Y,N,2432,N
HX342384,7/12/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,633,N
HX343179,7/12/2014,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,331,Y
HX342475,7/12/2014,THEFT,OVER $500,APARTMENT,N,Y,322,Y
HX342444,7/12/2014,THEFT,$500 AND UNDER,DRIVEWAY - RESIDENTIAL,N,N,2221,Y
HX342394,7/12/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,Y,N,321,N
HX342410,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,N,N,621,Y
HX342404,7/12/2014,THEFT,RETAIL THEFT,DEPARTMENT STORE,Y,N,1833,N
HX342703,7/12/2014,THEFT,$500 AND UNDER,PARK PROPERTY,N,N,114,Y
HX342351,7/12/2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,Y,N,1112,N
HX342744,7/12/2014,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,N,N,835,Y
HX343386,7/12/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1121,Y
HX343414,7/12/2014,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,N,N,2515,Y
HX343583,7/12/2014,THEFT,$500 AND UNDER,GROCERY FOOD STORE,N,N,1911,Y
HX344045,7/12/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1924,Y
HX344296,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1031,Y
HX353323,7/12/2014,THEFT,FROM BUILDING,RESTAURANT,N,N,2023,Y
HX350158,7/12/2014,THEFT,FROM BUILDING,RESIDENCE,N,N,512,Y
HX353528,7/12/2014,OFFENSE INVOLVING CHILDREN,CHILD ABDUCTION,APARTMENT,N,Y,1013,Y
HX342364,7/12/2014,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,N,424,Y
HX342430,7/12/2014,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,STREET,N,Y,1022,Y
HX342400,7/12/2014,THEFT,RETAIL THEFT,GROCERY FOOD STORE,Y,N,2533,N
HX342451,7/12/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,1532,N
HX342376,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,Y,Y,421,N
HX342381,7/12/2014,THEFT,FROM BUILDING,SMALL RETAIL STORE,N,N,2013,Y
HX342483,7/12/2014,THEFT,$500 AND UNDER,RESIDENCE,N,N,632,Y
HX343097,7/12/2014,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,1014,Y
HX342391,7/12/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,2232,N
HX342407,7/12/2014,THEFT,RETAIL THEFT,CONVENIENCE STORE,N,N,113,Y
HX343507,7/12/2014,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,N,433,Y
HX342901,7/12/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,823,Y
HX342780,7/12/2014,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENTIAL YARD (FRONT/BACK),N,N,923,Y
HX342356,7/12/2014,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,332,Y
